,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,,,,1.708251,,,,,,,,,,,3bf4ee73-0668-46fc-ba00-45578e6f97f1,17,,"[20.8, 30.3]",3845654,0,,0.012625341,0.012436533,0.000188808,0.009226598,0.011526297,-0.002299699,-0.002488507,,,,2.3456686,,Left Foot,,,"[6.7, 44.7]",,Ground Pass,,20.15366,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9796944363,0.9977833629,Diego Mariño Villar,,,,,,1,From Kick Off,Carlos Roberto Izquierdoz,27848.0,Left Center Back,2,Sporting Gijón,1041,['0b47407a-6b48-4178-8f52-b8957a752dc8'],10,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:10.946,Pass,
11,,,,,,,,,,,,,,,,,,2.117928,,,,,,,,,,,c92630a1-1af1-4ea0-ae3a-3de64a57228b,20,,"[6.7, 44.7]",3845654,0,,0.010621418,0.012625341,-0.002003923,0.016060578,0.009226598,0.00683398,0.008837903,,,,-0.49280208,,Right Foot,,,"[48.6, 22.2]",,High Pass,,47.559017,,,52.0,Defensive third - Center - Forwards - Long - High Pass,0.6843225818,0.4726466238,Daniel Queipo Menéndez,,,,,,1,From Kick Off,Diego Mariño Villar,23843.0,Goalkeeper,2,Sporting Gijón,1041,['d0fc94ba-05ed-4e74-b669-6f01d7947e85'],14,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:14.094,Pass,
12,,,,,,,,,,,,,,,,,,1.122156,,,,,,,,,,,a33b763f-4fc8-43be-b02c-2aa977a97331,24,,"[70.6, 59.2]",3845654,0,,0.013647473,0.016060578,-0.0024131043,0.010653657,0.010621418,3.22387e-05,0.002445343,,,True,-0.17863101,,,,,"[85.0, 56.6]",,Low Pass,,14.63284,Incomplete,,51.0,Midfield third - Right - To left - Short - Ground Pass,0.8368703138,0.3612804115,,,,,,Recovery,1,From Kick Off,Álex Petxarroman Eizaguirre,132413.0,Right Back,2,Sporting Gijón,1041,"['689d8cf9-0243-47a6-8ef1-49d9ebdb76e6', 'd6af99fe-a37c-45ae-86aa-aaa128b3be00']",17,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:00:17.379,Pass,True
13,,,,,,,,,,,,,,,,,,0.787565,,,,,,,,,,,edeb353f-9848-49ac-bd00-e2d8c7d95ea9,28,,"[39.8, 14.1]",3845654,0,,0.012150907,0.010807253,0.0013436537,0.010708725,0.012633928,-0.001925203,-0.0032688566,,,,-1.2417467,,Right Foot,,,"[42.6, 5.9]",,Ground Pass,,8.664871,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.6777708036,0.9616193771,José Ángel Valdés Díaz,,,,,,1,From Kick Off,José Gragera Amado,25587.0,Left Defensive Midfield,2,Sporting Gijón,1041,['c193c0f9-f41e-41c3-83e3-3761bdeaa3fc'],19,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:19.807,Pass,
14,,,,,,,,,,,,,,,,,,1.832999,,,,,,,,,,,34d841b2-7a57-4985-ba84-8bbe8b77d4c0,32,,"[38.3, 4.0]",3845654,0,,0.014264002,0.011090742,0.00317326,0.007947594,0.011220396,-0.0032728016,-0.0064460617,,,,-0.044157322,,Left Foot,,,"[81.3, 2.1]",,High Pass,,43.041958,Out,,28.0,Defensive third - Left - Forwards - Long - High Pass,0.5585300321,0.288426578,,,,,,,1,From Kick Off,José Ángel Valdés Díaz,6705.0,Left Back,2,Sporting Gijón,1041,,21,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:21.535,Pass,
15,,,,,,,,,,,,,,,,,,1.160645,,,,,,,,,,,80ec9a9c-096e-465d-9f3e-68686c01e5ca,33,,"[82.6, 80.0]",3845654,0,,0.012805345,0.007947594,0.0048577506,0.01170081,0.014264002,-0.0025631925,-0.007420943,,,,-1.2788643,,,,,"[88.4, 60.7]",,Low Pass,,20.152668,Incomplete,,,,,0.8792146444,Jacobo González Rodrigañez,,,,,Throw-in,1,From Throw In,Álex Petxarroman Eizaguirre,132413.0,Right Back,3,FC Andorra,1774,"['261f3717-6d26-48e1-b854-552e96afd3a3', 'ab327ec5-2a8d-4f8d-a7ed-0ad4b282e412']",41,,,,,,,,,,,,,,,,,,,,,,FC Andorra,1774,00:00:41.680,Pass,
16,,,,,,,,,,,,,,,,,,1.100878,,,,,,,,,,,261f3717-6d26-48e1-b854-552e96afd3a3,35,,"[31.7, 19.4]",3845654,0,,0.012609956,0.014264002,-0.0016540465,0.008860457,0.007947594,0.0009128629,0.0025669094,,,,-1.9799525,,Right Foot,,,"[26.8, 8.1]",,Low Pass,,12.316655,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.9759683429,0.8411812782,José Ángel Valdés Díaz,,,,,Interception,1,Regular Play,Juan Ferney Otero Tovar,10083.0,Right Midfield,4,Sporting Gijón,1041,"['80ec9a9c-096e-465d-9f3e-68686c01e5ca', 'ff8fdc1b-d298-4dba-aaed-56c08198eb6a']",42,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:42.840,Pass,
17,,,,,,,,,,,,,,,,,,1.745195,,,,,,,,,,,d79e6e7c-18bb-4eee-8b6a-f3044fc9a7ab,45,,"[34.9, 0.1]",3845654,0,,0.009589999,0.0107362,-0.001146201,0.014603767,0.0070250276,0.007578739,0.00872494,True,,,0.17188124,,,,,"[75.8, 7.2]",,High Pass,,41.511684,Incomplete,,,,,0.4279616475,,,,,,Throw-in,1,From Throw In,José Ángel Valdés Díaz,6705.0,Left Back,5,Sporting Gijón,1041,['a53b3f12-b668-4247-9030-3cad52e35246'],56,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:56.195,Pass,
18,,,,,,,,,,,,,,,,,,0.580155,,,,,,,,,,,b9483c60-50e7-4f19-9222-22381cc6ff5d,47,,"[56.3, 4.9]",3845654,0,,0.009539645,0.0059958072,0.003543838,0.016267415,0.011650123,0.0046172924,0.0010734544,,,,1.4491773,,Left Foot,,,"[57.4, 13.9]",,Ground Pass,,9.066973,,,32.0,Midfield third - Left - To right - Short - Ground Pass,0.850560083,0.9353061914,José Gragera Amado,,,,,Recovery,1,From Throw In,José Ángel Valdés Díaz,6705.0,Left Back,5,Sporting Gijón,1041,['4fd48e18-611f-4e1a-9c3c-84b7427484e4'],59,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:59.206,Pass,
19,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,e738f478-4b35-456b-af60-5bfed290ead3,50,,"[57.4, 13.9]",3845654,0,,0.0093949335,0.009539645,-0.0001447117,0.009182802,0.016267415,-0.0070846127,-0.006939901,,,,-1.1102543,,Right Foot,,,"[63.8, 1.0]",,Ground Pass,,14.400347,Out,,19.0,Midfield third - Left - Forwards - Short - Ground Pass,0.4644882575,0.9352990389,José Ángel Valdés Díaz,,,,,,1,From Throw In,José Gragera Amado,25587.0,Left Defensive Midfield,5,Sporting Gijón,1041,['0dd61d58-bc46-4ed0-8182-80c406d945eb'],59,,,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:59.857,Pass,
